First Name,Last Name,Phone,Email,Date of Birth,Street,City,State,Zip
Jake,Morrison,9045551234,jake.morrison@email.com,03/15/1988,123 Oak Lane,Jacksonville,FL,32256
Derek,Callahan,9045552345,derek.callahan@email.com,07/22/1975,456 Pine Street,Jacksonville,FL,32257
Marcus,Whitfield,9045553456,marcus.w@email.com,11/10/1982,789 Elm Drive,Jacksonville,FL,32258
Ryan,Blackwell,9045554567,rblackwell@email.com,01/05/1990,321 Cedar Ave,Jacksonville,FL,32259
Trent,Halstead,9045555678,trent.h@email.com,09/18/1985,654 Maple Court,Jacksonville,FL,32260
Corey,Langston,9045556789,clangston@email.com,04/30/1979,987 Birch Road,Jacksonville,FL,32261
Nathan,Prescott,9045557890,nprescott@email.com,12/01/1993,147 Willow Way,Jacksonville,FL,32262
Brandon,Strickland,9045558901,bstrickland@email.com,06/14/1987,258 Spruce Lane,Jacksonville,FL,32263
Adam,Beckett,9045559012,abeckett@email.com,08/25/1980,369 Ash Street,Jacksonville,FL,32264
Kevin,Thornton,9045550123,kthornton@email.com,02/17/1992,741 Poplar Drive,Jacksonville,FL,32265
